symbol,neutrons,protons,instability,abundance
Se,32,34,0.9999580008819876,0.0
Se,33,34,0.9998640092475808,0.0
Se,34,34,0.9651227342300005,0.0
Se,35,34,0.9729719748862449,0.0
Se,36,34,0.08492387601958441,0.0
Se,37,34,0.7524655982616166,0.0
Se,38,34,6.40378607e-316,0.0
Se,39,34,6.626131275949298e-12,0.0
Se,40,34,0.0,0.86
Se,41,34,0.0,0.0
Se,42,34,0.0,9.23
Se,43,34,0.0,7.6
Se,44,34,0.0,23.69
Se,45,34,0.0,0.0
Se,46,34,0.0,49.8
Se,47,34,0.3305491224578677,0.0
Se,48,34,0.0,8.82
Se,49,34,0.262369883958126,0.0
Se,50,34,0.8223411053418056,0.0
Se,51,34,0.967635318282845,0.0
Se,52,34,0.9858017593695354,0.0
Se,53,34,0.9945150973089191,0.0
Se,54,34,0.9984711698532988,0.0
Se,55,34,0.9995700924367502,0.0
Se,56,34,0.9998050190112643,0.0
Se,57,34,0.9997300364467198,0.0
Br,35,35,0.9999209031283225,0.0
Br,36,35,0.978827355310705,0.0
Br,37,35,0.9244096143479162,0.0
Br,38,35,0.8154623711872927,0.0
Br,39,35,0.21783878676890578,0.0
Br,40,35,0.0030215056869598305,0.0
Br,41,35,4.698354860898014e-26,0.0
Br,42,35,6.610493888569815e-90,0.0
Br,43,35,0.6790910949266368,0.0
Br,44,35,0.0,50.65
Br,45,35,0.3461787565180944,0.0
Br,46,35,0.0,49.35
Br,47,35,6.886515386464336e-56,0.0
Br,48,35,0.00019424311759511038,0.0
Br,49,35,0.14873337581928597,0.0
Br,50,35,0.8402968976584314,0.0
Br,51,35,0.9463905041709565,0.0
Br,52,35,0.9458417568306493,0.0
Br,53,35,0.9837927736425792,0.0
Br,54,35,0.9956524779543545,0.0
Br,55,35,0.9980918228892425,0.0
Br,56,35,0.9994571473978198,0.0
Br,57,35,0.9996860492928406,0.0
Br,58,35,0.9998980052018231,0.0
Br,59,35,0.9999300024499428,0.0
Kr,33,36,0.9999720003919963,0.0
Kr,34,36,0.9999600007999894,0.0
Kr,35,36,0.9999000049998333,0.0
Kr,36,36,0.9830453751820007,0.0
Kr,37,36,0.9730692769487556,0.0
Kr,38,36,0.5015760690660555,0.0
Kr,39,36,0.7588129307612413,0.0
Kr,40,36,7.25754945959883e-24,0.0
Kr,41,36,0.01391204871893762,0.0
Kr,42,36,0.0,0.355
